incident,address,date,charges,latitude,longitude
15011666,"308 Ridgeland Ave, Iowa City, IA 52246, USA",11/1/2015  23:12,"1) Assault With A Dangerous Weapon
2) Carrying a concealed dangerous weapon",41.667831,-91.540926
15011645,"2021 Davis St, Iowa City, IA 52240, USA",11/1/2015  06:32,"1) Burglary 1st Degree
2) Assault- Domestic Abuse
3) Assault Causing Injury",41.638781,-91.517493
15011641,"US-6 & Broadway St, Iowa City, IA 52240, USA",11/1/2015  03:57,1) Public Intoxication,41.6420049,-91.5200041
15011636,"S Madison St & W Burlington St, Iowa City, IA 52242, USA",11/1/2015  03:14,1) OWI,41.6579053,-91.5377244
15011635,"500 E Market St, Iowa City, IA 52245, USA",11/1/2015  02:30,"1) Interference - Interference with official acts
2) Public Intoxication",41.6641176,-91.528466
15011634,"N Governor St & E Davenport St, Iowa City, IA 52245, USA",11/1/2015  02:20,1) OWI,41.6656995,-91.5227771
15011633,"E Market St & N Gilbert St, Iowa City, IA 52245, USA",11/1/2015  01:51,1) Assault Causing Serious Injury,41.663564,-91.530135
15011632,"2165 Plaen View Dr, Iowa City, IA 52246, USA",11/1/2015  01:49,"1) Assault Causing Serious Injury
3) Violate no-contact, domestic abuse protective order",41.64175,-91.571285
15011631,"100 S Linn St, Iowa City, IA 52240, USA",11/1/2015  01:45,1) Public Intoxication,41.659911,-91.5314913
15011630,"US-6 & S Gilbert St, Iowa City, IA 52240, USA",11/1/2015  01:46,"1)
2) Possess Controlled Substance - Marijuana",41.6454353,-91.532198
15011629,"10 S Clinton St, Iowa City, IA 52240, USA",11/1/2015  01:09,1) Public Intoxication,41.6608607,-91.5342869
15011628,"300 E Burlington St, Iowa City, IA 52240, USA",11/1/2015  01:44,1) OWI,41.6578731,-91.531666
15011626,"E College St & Dubuque St, Iowa City, IA 52240, USA",11/1/2015  01:02,"1) Public Intoxication
2) Disorderly Conduct",41.6589272,-91.5330847
15011623,"118 S Dubuque St, Iowa City, IA 52240, USA",11/1/2015  01:29,1) Public Intoxication,41.659418,-91.53282
15011621,"E Burlington St & S Clinton St, Iowa City, IA 52240, USA",11/1/2015  01:09,1) Public Intoxication,41.6578736,-91.5346351
15011617,"118 S Dubuque St, Iowa City, IA 52240, USA",11/1/2015  00:00,"1) Assault -simple
2) Disorderly Conduct",41.659418,-91.53282
15011614,"S Iowa Ave & W Van Buren St, Washington, IA 52353, USA",10/31/2015  23:52,"1) Public Intoxication
2) License-possess ficticious DL/ID",41.2924694,-91.6918807
15011609,"1102 Hollywood Blvd, Iowa City, IA 52240, USA",10/31/2015  22:52,1) Obstruction- Obstruct officer,41.641044,-91.5185599
15011608,"200 E College St, Iowa City, IA 52240, USA",10/31/2015  23:21,"1) Public Intoxication
2) Disorderly Conduct",41.6589033,-91.532237
15011606,"204 N Dubuque St, Iowa City, IA 52245, USA",10/31/2015  21:50,"1) Violate no-contact, domestic abuse protective order",41.6639935,-91.5327495
15011604,"505 E Burlington St #3b, Iowa City, IA 52240, USA",10/31/2015  21:31,1) Public Intoxication,41.657168,-91.528289
15011602,"Iowa City, IA, USA",10/31/2015  21:45,1) Drive while license under suspension/cancelled,41.6611277,-91.5301683
15011601,"Iowa City, IA, USA",10/31/2015  21:27,1) Public Intoxication,41.6611277,-91.5301683
15011597,"Wayne Ave & Arthur St, Iowa City, IA 52240, USA",10/31/2015  20:07,1) Drive while barred,41.6474526,-91.4977265
15011594,"S Gilbert St & Bowery St, Iowa City, IA 52240, USA",10/31/2015  18:47,1) OWI,41.6541203,-91.5302108
15011593,"N Dubuque St & E Jefferson St, Iowa City, IA 52245, USA",10/31/2015  18:09,1) OWI,41.6624661,-91.5330811
15011592,"1100 Arthur St, Iowa City, IA 52240, USA",10/31/2015  17:53,1) Trespass - Criminal trespass,41.648509,-91.4963761
15011588,"200 E Burlington St, Iowa City, IA 52240, USA",10/31/2015  15:22,1) Consumption - Consume alcohol in public,41.657876,-91.5331526
15011576,"500 Scott Park Dr, Iowa City, IA 52245, USA",10/31/2015  08:20,"1) Public Intoxication
2) Interference - Interference with official acts",41.6561225,-91.478738
15011575,"2160 Davis St, Iowa City, IA 52240, USA",10/31/2015  05:50,1) Disorderly Conduct,41.6373869,-91.516801
15011567,"E Burlington St & S Johnson St, Iowa City, IA 52240, USA",10/31/2015  02:50,1) OWI- 2nd Offense,41.6578222,-91.5272715
15011565,"26 S Clinton St, Iowa City, IA 52240, USA",10/31/2015  02:22,1) Public Intoxication,41.660433,-91.534249
15011562,"515 S Linn St, Iowa City, IA 52240, USA",10/30/2015  22:00,1) Trespass - Criminal trespass,41.6550234,-91.5317474
15011561,"2116 Friendship St, Iowa City, IA 52245, USA",10/30/2015  23:30,1) Assault Causing Injury,41.654193,-91.503993
15011560,"100 E College St, Iowa City, IA 52240, USA",10/31/2015  01:25,1) Tobacco - Smoking in prohibited areas,41.6589272,-91.5344139
15011559,"10 S Clinton St, Iowa City, IA 52240, USA",10/31/2015  00:53,"1) Public Intoxication
2) Unlawful use of authentic DL/ID of another
3) Presence on premise (licensed liquor establishment)after hours",41.6608607,-91.5342869
15011558,"S Gilbert St & Iowa Ave, Iowa City, IA 52240, USA",10/31/2015  00:55,1) Drive while license under suspension/cancelled,41.6611993,-91.5301652
15011557,"121 E College St, Iowa City, IA 52240, USA",10/31/2015  00:17,1) Public Intoxication- 2nd Offense,41.658657,-91.533643
15011554,"ACT Cir, Iowa City, IA 52245, USA",10/30/2015  23:36,1) OWI- 2nd Offense,41.6847502,-91.5056066
15011553,"419 N Dubuque St, Iowa City, IA 52245, USA",10/30/2015  23:27,1) Public Intoxication,41.666463,-91.533501
15011550,"Iowa City, IA, USA",10/30/2015  23:30,1),41.6611277,-91.5301683
15011543,"23 S Dubuque St, Iowa City, IA 52240, USA",10/30/2015  20:28,1) Driving while license revoked,41.6604735,-91.5333818
15011539,"1100 Arthur St, Iowa City, IA 52240, USA",10/30/2015  18:43,1) Violate harassment/stalking protective order,41.648509,-91.4963761
15011532,"1011 IA-1, Iowa City, IA 52246, USA",10/28/2015  12:40,1) Theft 4th Degree,41.6456377,-91.5543691
15011526,"High St, Iowa City, IA 52245, USA",10/30/2015  12:00,1) Disorderly Conduct,41.6578264,-91.510098
15011517,"400 N Governor St, Iowa City, IA 52245, USA",10/30/2015  02:51,1) OWI,41.6657049,-91.5227583
